plant_id,lon,lat,province,region,emissions_feedstock_transport_kg_co2eq,emissions_digestate_transport_kg_co2eq,emissions_biogas_biomethane_leakage_kg_co2eq,emissions_anaerobic_digestion_and_biogas_upgrading_kg_co2eq,emissions_co2_transport_kg_co2eq,emissions_co2_injection_and_storage_kg_co2eq,emissions_CHP_kg_co2eq,emissions_digestate_field_n2o_kg_co2eq,credit_avoided_natural_gas_kg_co2eq,credit_avoided_npk_fertilisers_kg_co2,credit_avoided_mineral_n_field_n2o_kg_co2eq,cdr_geological_storage_kg_co2,net_life_cycle_ghg_emissions_kg_co2eq,total_mitigation_kg_co2eq
1,114.03,33.55,Henan,Central_South_China,3633108.8,4310700.8,79933392.0,16969917.5,453286.1,2522464.7,4236531.0,20196055.5,-110842085.6,-78717722.5,-11107830.5,-242964029.8,-110708573.3,-311376212.0
2,116.34,34.03,Henan,Central_South_China,3653988.8,4335475.0,74170418.0,10971954.2,1083029.1,2322349.9,4260879.0,20312125.4,-102048642.6,-79170125.5,-11171668.9,-223688947.2,-102578727.8,-294969164.9
3,114.75,33.83,Henan,Central_South_China,3486862.2,4137178.4,73987943.3,13614610.8,418132.8,2326842.1,4065994.3,19383086.3,-102246041.5,-75549030.5,-10660697.5,-224121642.3,-102700992.1,-291156761.5
4,115.03,33.29,Henan,Central_South_China,3608306.6,4281272.8,73667068.2,11250069.3,414735.6,2307937.3,4207609.4,20058182.7,-101415327.3,-78180338.7,-11032000.5,-222300730.5,-102505548.6,-293133215.0
5,120.49,32.68,Jiangsu,East_China,2994007.6,3552404.1,69465863.3,17505040.6,395821.1,2202681.2,3491281.6,16643361.4,-96790164.8,-64870464.8,-9153848.8,-212162450.3,-95911989.3,-266726467.7
6,115.67,36.05,Shandong,East_China,3080551.4,3655088.7,69380302.5,15960203.3,3622511.8,2194144.9,3592199.5,17124448.9,-96415061.9,-66745589.1,-9418446.9,-211340230.7,-92730779.8,-265309877.6
7,115.42,36.52,Shandong,East_China,3144177.6,3730581.6,68933375.3,14448258.6,2493871.0,2174623.9,3666393.4,17478140.4,-95557272.2,-68124164.5,-9612977.2,-209459969.9,-93390548.1,-266684962.1
8,114.37,35.59,Henan,Central_South_China,3185997.0,3780200.5,68337540.9,13158583.8,3179221.9,2151374.4,3715158.5,17710609.8,-94535644.1,-69030255.2,-9740835.4,-207220578.0,-92001891.2,-265308625.9
9,115.43,34.16,Henan,Central_South_China,3395598.8,4028894.0,66976865.3,8287181.8,375737.1,2090917.1,3959573.1,18875763.3,-91879027.7,-73571648.7,-10381669.8,-201397318.4,-93406788.0,-269239134.1
10,113.55,33.55,Henan,Central_South_China,3268477.3,3878063.8,66749787.4,10210781.8,375804.0,2091289.1,3811338.0,18169109.0,-91895376.5,-70817337.5,-9993009.9,-201433154.8,-92878504.4,-265584228.4
11,114.72,38.27,Hebei,North_China,2831164.5,3359190.1,66738390.9,17582275.3,380805.0,2119119.0,3301392.0,15738134.6,-93118276.4,-61342182.2,-8655974.1,-204113731.2,-92063259.8,-255179692.4
12,114.95,34.78,Henan,Central_South_China,3206061.5,3804007.2,66130674.7,10657987.7,1611156.7,2073963.8,3738555.6,17822146.4,-91134068.2,-69464989.2,-9802180.5,-199764379.5,-90719825.8,-261121063.8
13,113.6,34.04,Henan,Central_South_China,3096407.6,3673902.2,65230487.7,11627319.0,368383.0,2049992.7,3610689.2,17212591.9,-90080732.4,-67089142.1,-9466925.6,-197455484.8,-90585711.5,-257222511.5
14,114.95,35.94,Henan,Central_South_China,2980164.0,3535978.7,63472918.8,11867994.5,3395543.0,1996875.5,3475138.8,16566406.8,-87746656.1,-64570520.2,-9111523.7,-192339227.9,-85048207.8,-246476907.9
15,115.69,35.03,Shandong,East_China,3227562.7,3829518.4,62921886.6,7151645.9,1919100.7,1961903.8,3763627.9,17941668.9,-86209928.5,-69930849.4,-9867917.9,-188970746.2,-86253831.4,-252262527.2
16,115.24,33.73,Henan,Central_South_China,3238721.2,3842758.0,61528601.5,5598392.5,343788.6,1913128.7,3776639.7,18003698.0,-84066653.7,-70172618.8,-9902033.9,-184272723.1,-86026994.8,-250168301.2
17,116.37,37.05,Shandong,East_China,3017174.9,3579892.2,61260901.9,9076267.6,1464690.0,1918193.6,3518296.8,16772146.0,-84289215.9,-65372425.4,-9224680.3,-184760575.8,-84153012.9,-243039334.5
18,116.95,34.29,Anhui,East_China,2732919.6,3242622.0,60979839.9,13599696.1,1971811.8,1926844.7,3186829.6,15192002.0,-84669362.2,-59213533.1,-8355601.1,-185593850.2,-82761284.5,-234999780.9
19,114.95,34.28,Henan,Central_South_China,2963571.5,3516291.6,60711487.0,9442979.9,603682.1,1902703.4,3455790.5,16474170.7,-83608548.9,-64211013.9,-9060793.9,-183268564.9,-84197888.1,-241078244.9
20,115.93,34.31,Henan,Central_South_China,3170940.9,3762336.4,60650230.8,5882189.9,674910.2,1887207.6,3697601.8,17626914.6,-82927633.1,-68704038.3,-9694803.0,-181776008.7,-84423676.5,-245750151.0
21,112.6,26.89,Hunan,Central_South_China,2302918.5,2732423.7,59946198.0,19846352.3,5382745.7,1918945.0,2685409.7,12801672.6,-84322235.5,-49896798.5,-7040919.9,-184832954.2,-77216288.8,-218476242.7
22,115.79,35.51,Shandong,East_China,3040281.9,3607308.9,59888612.0,7341867.7,2734057.9,1869371.5,3545241.7,16900595.6,-82143876.2,-65873080.9,-9295327.6,-180058026.4,-81130689.1,-238442973.8
23,112.77,33.01,Henan,Central_South_China,3057359.3,3627571.2,59751667.4,6919418.1,334878.6,1863546.1,3565155.4,16995526.6,-81887896.6,-66243091.3,-9347539.6,-179496923.2,-83381800.6,-240860328.1
24,106.43,29.6,Chongqing,Southwest_China,2004020.1,2377779.3,59643549.8,24595838.6,346424.4,1927796.6,2336867.3,11140129.0,-84711192.7,-43420636.3,-6127070.9,-185685542.0,-81313136.9,-215572036.8
25,115.26,37.99,Hebei,North_China,2693760.0,3196159.0,59612576.5,12921398.3,338233.3,1882214.4,3141166.0,14974317.9,-82708222.1,-58365070.6,-8235874.9,-181295063.2,-82535237.8,-231844405.3
26,114.95,36.72,Hebei,North_China,2853464.8,3385649.5,59357050.9,9974967.4,1724704.1,1863094.4,3327396.1,15862099.5,-81868047.8,-61825357.3,-8724154.7,-179453415.1,-81104988.5,-233522548.3
27,118.8,36.8,Shandong,East_China,2581795.9,3063313.1,59349884.5,14554224.9,941045.4,1880379.9,3010605.9,14351922.0,-82627610.2,-55939171.6,-7893557.1,-181118363.4,-81385191.9,-227845530.8
28,114.6,32.9,Henan,Central_South_China,3200859.0,3797834.3,59138327.6,3896041.1,329413.0,1833130.6,3732488.9,17793225.8,-80551383.3,-69352265.9,-9786274.2,-176567308.2,-82845988.0,-242535911.4
29,116.17,34.84,Shandong,East_China,3171142.9,3762576.1,58824569.1,4090342.3,1649983.3,1824226.8,3697837.4,17628037.6,-80160129.8,-68708415.4,-9695420.7,-175709686.8,-81060971.4,-239624937.2
30,114.43,35.1,Henan,Central_South_China,2926588.7,3472411.3,58776283.2,8171573.5,1999094.6,1838344.2,3412665.2,16268587.2,-80780478.4,-63409715.5,-8947723.0,-177069480.7,-80203932.8,-233341849.6
31,112.32,32.68,Henan,Central_South_China,3014296.0,3576476.5,58663326.0,6580255.7,328632.6,1828787.9,3514939.8,16756142.7,-80360554.4,-65310049.9,-9215878.5,-176149014.2,-81886157.1,-236772639.9
32,114.51,33.43,Henan,Central_South_China,2959817.3,3511837.2,57949346.1,6800536.3,324839.2,1807678.3,3451412.7,16453301.4,-79432958.8,-64129672.1,-9049315.8,-174115740.1,-80856971.6,-233468918.3
33,110.83,21.67,Guangdong,Central_South_China,2115673.9,2510257.1,57582785.4,20692167.0,2011434.7,1849514.2,2467065.7,11760800.5,-81271307.8,-45839814.0,-6468440.3,-178145370.8,-77155672.3,-210735234.4
34,114.5,34.59,Henan,Central_South_China,2380058.9,2823951.1,57347819.6,15998679.7,1057306.0,1824347.4,2775362.3,13230487.7,-80165431.7,-51568181.8,-7276768.2,-175721308.6,-78283295.8,-217293677.5
35,116.07,28.46,Jiangxi,East_China,2168177.4,2572552.7,56973451.9,19208900.9,4532216.6,1825109.6,2528289.5,12052661.5,-80198921.8,-46977394.3,-6628963.8,-175794718.4,-73933358.3,-207738638.3
36,117.33,33.47,Anhui,East_China,3034670.0,3600650.3,56941676.0,4549758.7,1472223.2,1768092.6,3538697.7,16869399.4,-77693483.3,-65751488.2,-9278169.7,-170302838.3,-78527670.5,-231250811.6
37,115.25,35.18,Shandong,East_China,2959858.6,3511886.3,56941408.5,5812452.1,2049241.8,1772911.5,3451460.9,16453531.3,-77905234.8,-64130568.0,-9049442.2,-170766994.2,-77814243.3,-228899488.3
38,113.65,35.28,Henan,Central_South_China,2706352.0,3211099.4,56906012.2,10057443.6,2112464.2,1788051.3,3155849.4,15044315.4,-78570506.6,-58637898.0,-8274373.5,-172225258.9,-77243671.5,-222726449.6
39,116.65,34.68,Jiangsu,East_China,2642210.9,3134995.7,56803362.7,11039707.7,1830585.1,1788650.3,3081055.2,14687762.3,-78596830.6,-57248169.1,-8078269.3,-172282960.7,-77274630.6,-221197899.6
40,111.91,32.98,Henan,Central_South_China,2930471.5,3477018.3,56027355.3,5413145.6,353576.9,1743282.0,3417192.9,16290171.4,-76603255.7,-63493843.9,-8959594.3,-167913077.3,-78260863.5,-227317557.4
41,115.12,32.78,Henan,Central_South_China,2962072.6,3514513.2,55939293.6,4793393.8,312354.9,1738205.3,3454042.6,16465838.6,-76380174.2,-64178537.8,-9056211.2,-167424086.3,-78244371.8,-227859295.0
42,117.82,33.59,Anhui,East_China,2928627.6,3474830.4,55935281.2,5354078.2,1060069.4,1740225.3,3415042.7,16279921.1,-76468939.6,-63453891.6,-8953956.6,-167618658.7,-77430582.8,-226307370.6
43,119.9,33.93,Jiangsu,East_China,2531266.2,3003359.3,55232324.6,11373657.4,312969.4,1741624.7,2951683.6,14071032.5,-76530429.1,-54844354.6,-7739067.9,-167753442.6,-76535525.1,-215649376.6
44,116.81,37.26,Shandong,East_China,2898223.5,3438755.8,54876202.4,4829871.4,875682.5,1705659.5,3379588.8,16110908.1,-74950047.2,-62795133.3,-8860999.5,-164289271.5,-76174379.4,-222780559.3
45,114.18,34.18,Henan,Central_South_China,2622889.4,3112070.6,54810280.6,9413447.5,333625.4,1721155.1,3058524.5,14580356.0,-75630955.5,-56829533.7,-8019195.8,-165781811.2,-76129462.1,-216609147.0
46,115.96,32.91,Anhui,East_China,2741984.9,3253378.0,54783599.6,7376756.1,307744.4,1712548.7,3197400.6,15242394.8,-75252776.4,-59409948.0,-8383317.2,-164952848.8,-76337041.6,-219383083.1
47,117.2,37.6,Shandong,East_China,2831449.1,3359527.7,54625927.2,5711976.2,408879.5,1701336.8,3301723.8,15739716.4,-74760101.0,-61348347.4,-8656844.0,-163872912.4,-76192375.8,-220957668.2
48,115.53,33.25,Anhui,East_China,2841611.5,3371585.5,54346097.0,5266290.7,303877.4,1691029.5,3313574.1,15796208.3,-74307177.2,-61568534.6,-8687914.6,-162880110.9,-75949837.0,-220513463.3
49,115.35,35.67,Henan,Central_South_China,2610356.9,3097200.8,54037445.8,8867941.7,2751401.4,1695308.5,3043910.5,14510689.4,-74495205.6,-56557995.9,-7980879.2,-163292266.1,-72678011.0,-211712091.8
50,120.5,36.83,Shandong,East_China,2643428.8,3136440.8,53675805.8,7955360.2,2319309.2,1680701.0,3082475.3,14694532.4,-73853324.1,-57274556.8,-8081992.8,-161885272.5,-72697219.0,-211907092.8
51,113.94,33.1,Henan,Central_South_China,2707073.5,3211955.5,53030441.3,6248713.2,504443.6,1654334.7,3156690.8,15048326.3,-72694735.3,-58653531.5,-8276579.5,-159345664.8,-73783685.9,-213408532.1
52,116.28,35.61,Shandong,East_China,2842377.2,3372494.0,52566973.1,3510515.1,2679968.0,1629617.3,3314467.1,15800465.0,-71608606.7,-61585125.9,-8690255.7,-156964888.9,-71248012.1,-213132000.4
53,120.44,33.14,Jiangsu,East_China,2498560.6,2964553.9,52420112.4,9170916.7,295918.8,1646741.0,2913545.9,13889225.6,-72361055.2,-54135730.0,-7639074.1,-158614243.6,-72814668.6,-206950527.9
54,118.7,35.59,Shandong,East_China,2528544.3,3000129.7,52414028.5,8658775.8,2658904.7,1644596.1,2948509.6,14055901.8,-72266804.0,-54785380.0,-7730746.0,-158407646.4,-70498255.9,-205281185.8
