plant_id,lon,lat,province,region,cost_operational_and_maintenance_$,cost_investment_$,cost_biomass_procurement_$,cost_transport_biomass_$,cost_transport_digestate_$,cost_biogas_upgrading_$,cost_transport_co2_$,cost_storage_co2_$,revenue_biomethane_$,revenue_digestate_$
1,114.03,33.55,Henan,Central_South_China,11333870.5,23114258.5,34285053.6,2521426.0,2991683.8,30362736.4,175107.6,1708389.3,103538743.0,7165709.8
2,116.34,34.03,Henan,Central_South_China,10516730.1,21447785.1,38843522.2,2535917.0,3008877.5,27953967.3,418381.8,1572857.5,95324696.6,7206892.2
3,114.75,33.83,Henan,Central_South_China,10490856.8,21395019.1,34097582.6,2419928.8,2871257.0,28008040.3,161527.6,1575900.0,95509088.9,6877262.3
4,115.03,33.29,Henan,Central_South_China,10445359.4,21302232.0,33747945.7,2504212.9,2971260.4,27780484.6,160215.3,1563096.3,94733110.2,7116791.5
5,120.49,32.68,Jiangsu,East_China,9849664.6,20087373.8,31561413.7,2077881.2,2465415.8,26513523.6,152908.5,1491809.5,90412697.8,5905187.6
6,115.67,36.05,Shandong,East_China,9837532.8,20062632.3,33523900.9,2137943.7,2536680.3,26410772.5,1399401.9,1486028.1,90062310.3,6075881.0
7,115.42,36.52,Shandong,East_China,9774162.3,19933394.8,30784345.0,2182101.2,2589073.4,26175800.0,963400.0,1472807.2,89261040.0,6201373.4
8,114.37,35.59,Henan,Central_South_China,9689678.1,19761097.9,31639591.7,2211124.4,2623509.6,25895947.6,1228155.9,1457061.0,88306726.6,6283855.2
9,115.43,34.16,Henan,Central_South_China,9496746.0,19367632.7,34020671.5,2356590.9,2796106.2,25168226.3,145149.9,1416115.0,85825153.6,6697260.3
10,113.55,33.55,Henan,Central_South_China,9464548.3,19301968.9,30856266.9,2268366.9,2691428.0,25172704.7,145175.7,1416367.0,85840425.3,6446534.1
11,114.72,38.27,Hebei,North_China,9462932.3,19298673.4,23571517.1,1964865.9,2331322.7,25507691.1,147107.7,1435215.4,86982748.7,5584006.5
12,114.95,34.78,Henan,Central_South_China,9376763.4,19122940.7,32902402.4,2225049.5,2640031.7,24964161.1,622401.2,1404633.1,85129279.3,6323429.3
13,113.6,34.04,Henan,Central_South_China,9249124.6,18862634.5,28843118.7,2148948.2,2549737.1,24675623.1,142309.0,1388398.2,84145347.4,6107154.8
14,114.95,35.94,Henan,Central_South_China,8999916.4,18354400.1,29905924.2,2068273.6,2454016.4,24036254.6,1311722.3,1352423.5,81965062.5,5877883.6
15,115.69,35.03,Shandong,East_China,8921784.7,18195058.6,27082255.3,2239971.6,2657736.8,23615302.0,741362.2,1328738.2,80529589.2,6365836.7
16,115.24,33.73,Henan,Central_South_China,8724228.8,17792163.8,33724254.3,2247715.7,2666925.3,23028199.3,132808.0,1295704.3,78527534.0,6387845.1
17,116.37,37.05,Shandong,East_China,8686271.3,17714753.4,27299152.2,2093959.6,2484493.0,23089165.3,565820.1,1299134.6,78735431.7,5950881.3
18,116.95,34.29,Anhui,East_China,8646419.1,17633479.0,27317970.2,1896682.7,2250422.9,23193298.0,761724.9,1304993.7,79090530.3,5390234.6
19,114.95,34.28,Henan,Central_South_China,8608369.0,17555879.6,29552318.0,2056758.2,2440353.3,22902711.7,233206.6,1288643.6,78099613.6,5845157.5
20,115.93,34.31,Henan,Central_South_China,8599683.4,17538166.2,32679743.6,2200675.3,2611111.6,22716189.9,260722.6,1278148.8,77463563.1,6254159.6
21,112.6,26.89,Hunan,Central_South_China,8499857.5,17334581.8,17099709.8,1598256.1,1896338.5,23098210.3,2079392.7,1299643.5,78766275.6,4542128.1
22,115.79,35.51,Shandong,East_China,8491692.3,17317929.7,26620006.6,2109996.2,2503520.5,22501497.0,1056185.9,1266068.9,76731447.6,5996456.2
23,112.77,33.01,Henan,Central_South_China,8472274.8,17278329.5,30264965.9,2121848.1,2517582.8,22431377.0,129366.0,1262123.5,76492334.3,6030138.5
24,106.43,29.6,Chongqing,Southwest_China,8456944.6,17247065.3,5022620.9,1390816.7,1650210.5,23204756.5,133826.2,1305638.5,79129604.6,3952600.1
25,115.26,37.99,Hebei,North_China,8452552.9,17238108.8,22969699.9,1869505.4,2218176.9,22656087.1,130661.9,1274767.0,77258608.9,5312998.7
26,114.95,36.72,Hebei,North_China,8416321.5,17164218.7,24771482.4,1980342.6,2349685.9,22425939.9,666265.4,1261817.6,76473793.4,5627990.1
27,118.8,36.8,Shandong,East_China,8415305.4,17162146.4,21319520.1,1791800.8,2125980.1,22634005.2,363532.5,1273524.6,77183308.6,5092168.0
28,114.6,32.9,Henan,Central_South_China,8385308.4,17100970.7,33542389.8,2221438.8,2635747.6,22065268.8,127254.6,1241524.1,75243883.5,6313168.0
29,116.17,34.84,Shandong,East_China,8340820.2,17010241.5,27358244.1,2200815.5,2611278.0,21958093.6,637400.2,1235493.8,74878409.4,6254558.0
30,114.43,35.1,Henan,Central_South_China,8333973.6,16996278.7,30293511.4,2031091.6,2409899.8,22128024.3,772264.4,1245055.1,75457883.5,5772215.0
31,112.32,32.68,Henan,Central_South_China,8317957.3,16963614.9,29418078.3,2091961.6,2482122.4,22012995.4,126953.1,1238582.9,75065628.1,5945203.3
