plant_id,lon,lat,province,region,rice_straw_t_yr,maize_straw_t_yr,wheat_straw_t_yr,othergrain_straw_t_yr,cotton_straw_t_yr,canola_straw_t_yr,peanuts_straw_t_yr,soybeans_straw_t_yr,potapoes_straw_t_yr,beef_cattle_manure_t_yr,dairy_cattle_manure_t_yr,sheep_goat_manure_t_yr,pig_manure_t_yr,poultry_manure_t_yr,food_waste_t_yr
1,114.03,33.55,Henan,Central_South_China,734.4,222814.7,278298.4,1067.2,1640.1,4766.8,36229.8,5357.2,9374.9,20613.9,2697.1,42511.7,238151.9,164828.8,46173
2,116.34,34.03,Henan,Central_South_China,0,261190.2,329519.6,1245.4,2125.3,6350.1,41867.5,7105.9,10865.4,21837.1,4.8,111188.8,61554,185834.1,40751.2
3,114.75,33.83,Henan,Central_South_China,0,222414.1,277797.9,1065.3,1637.1,4758.2,36164.7,5347.6,9358,21817.8,2743.2,106540.2,128523.2,168963.1,44846.2
4,115.03,33.29,Henan,Central_South_China,0,229651.8,293634,1088.4,2109.3,6487.6,36097.6,7227.9,9406.2,21282.1,6794.1,175747.1,101020.1,131350.6,46022.5
5,120.49,32.68,Jiangsu,East_China,241866.3,53983.3,139776.6,2486.3,1124.8,7981.8,4081.2,8804.6,2723.5,2123.6,2397.9,116282,79816.6,172033.5,50628.7
6,115.67,36.05,Shandong,East_China,0,228877.3,182506.2,617.6,5524.9,1139.6,21744.1,3355.2,7788,14275,2497.2,56817.5,51821.2,285607.8,49152.6
7,115.42,36.52,Shandong,East_China,0,238003.1,150249.8,2023.1,8017.6,332.3,14691.8,2725.8,10812.2,16261,8805.1,120418.8,76961.7,245627.1,35625.5
8,114.37,35.59,Henan,Central_South_China,0,209368,261503.2,1002.8,1541.1,4479.1,34043.4,5033.9,8809.1,19874.5,1776.5,57576.9,116810.2,156642.4,64470.9
9,115.43,34.16,Henan,Central_South_China,0,245500.5,307179.4,1175,1840.7,5378.6,39818.6,6039.8,10308.8,20036.5,255.1,131991.1,83307.9,119546.5,32587.7
10,113.55,33.55,Henan,Central_South_China,0,221354.4,276474.3,1060.2,1629.3,4735.6,35992.4,5322.2,9313.5,19645.7,2520.1,101995.2,151190,103086.8,33023.3
11,114.72,38.27,Hebei,North_China,0,172297.1,93136.5,3319,7375.1,392,5829.3,1720.3,11759.9,30234.1,64631.8,34728.3,137383.2,204487.2,70621.4
12,114.95,34.78,Henan,Central_South_China,127.1,219093,266139.5,1013,1890.9,4413.6,34502.6,5111.6,9080.8,21699.7,3160.3,118755.4,56313.2,169290.6,38279
13,113.6,34.04,Henan,Central_South_China,677.9,199257.8,248875.8,954.4,1466.7,4262.8,32399.5,4790.8,8383.7,20961.1,9369,80483,135745.8,114016.8,54771.9
14,114.95,35.94,Henan,Central_South_China,643.6,197291.2,229373.9,1293.2,2305,3760.8,28981.5,4405.3,8930.8,19246,2067.8,95182.4,67031.9,168662.6,52837.3
15,115.69,35.03,Shandong,East_China,0,266862.2,182965.5,548.9,7533,232.1,20930.2,3290.9,8476.6,41052.9,7956,201797.5,75842,98591.8,39154
16,115.24,33.73,Henan,Central_South_China,0,256154.9,319940,1226.9,1885.5,5480.1,41651.2,6159.2,10777.9,20739.7,4933.7,94096,80024.4,95920.1,19546.8
17,116.37,37.05,Shandong,East_China,1059,250625.3,171833.2,515.5,7074.7,218,19656.8,3090.7,7960.8,109749.7,5928,45944.9,109396.9,134584,25329.7
18,116.95,34.29,Anhui,East_China,58895.6,108996.4,212497,1677.2,3468.2,14590.8,8419.2,15964.4,3445.5,4778.4,3864.5,91521.7,81180.1,143380.1,56159.5
19,114.95,34.28,Henan,Central_South_China,45360.5,190683,238165.5,913.3,1403.6,4079.4,31005.2,4584.7,8022.9,19373,1785.6,89018.1,92634.8,108819.1,41253.7
20,115.93,34.31,Henan,Central_South_China,0,248557.1,310451,1190.5,1829.6,5317.5,40415.6,5976.2,10458,19312.5,0,101283.8,62408.2,93726.9,37549.1
21,112.6,26.89,Hunan,Central_South_China,166887,29983.7,918.7,441,4220.8,27820.4,2870.9,4249.9,13224.5,19635.2,0,6134.6,119341.7,91153.4,194693
22,115.79,35.51,Shandong,East_China,0,255708.5,175318.1,525.9,7218.2,222.4,20055.5,3153.4,8122.3,17517.7,2922.6,186273.8,81832.4,111590.4,29344.8
23,112.77,33.01,Henan,Central_South_China,339.6,232501.2,290397.3,1113.6,1711.4,4974,37804.9,5590.1,9782.4,18887.6,14385.9,63134.6,104336.1,76928.2,42973.2
24,106.43,29.6,Chongqing,Southwest_China,46346.7,17973.6,668.8,353.7,0,4938.5,991.2,2506.7,16829.6,5949.2,1270.9,10846.1,24041.3,18700.1,441696.1
25,115.26,37.99,Hebei,North_China,0,203261.8,109874.5,3915.5,8700.6,462.5,6876.9,2029.5,13873.4,26225.8,18917.7,57055.9,137873,153492.5,54689.3
26,114.95,36.72,Hebei,North_China,0,229634.3,124130.3,4423.6,9829.5,522.5,7769.2,2292.8,15673.4,26302.1,8933.5,150435.1,64257.8,152470.5,47840.7
27,118.8,36.8,Shandong,East_China,0,189449.4,129890.2,389.7,5347.8,164.8,14858.7,2336.3,6017.7,11198.9,6423.1,31236.1,78901.6,127464.1,160433.5
28,114.6,32.9,Henan,Central_South_China,2283.5,269306.6,336367.4,1289.9,1982.3,5761.4,43789.4,6475.1,11331,20131.4,1989.6,63551.1,104343,62491,16237.8
29,116.17,34.84,Shandong,East_China,0,291241.7,202040.8,653.6,8212,435.6,22838.8,3778.5,9274.2,17209.2,2656.9,212345.9,63245.3,68890.6,35712.7
30,114.43,35.1,Henan,Central_South_China,18083.8,212926.1,265947.4,1019.9,1567.3,4555.3,34622,5119.5,8958.8,27557.9,2414.5,47244.8,85666.4,108102.2,42371.4
31,112.32,32.68,Henan,Central_South_China,149.7,225603.3,281781.5,1080.6,1660.6,4826.5,36683.2,5424.3,9492.2,19702.5,13723,79057.1,109348.1,72001,31581.7
